ID,Color ID,Colors
51,"[(33, 37, 13), (26, 32, 8), (40, 41, 19), (212, 220, 176), (197, 208, 167), (59, 53, 26), (124, 84, 25), (220, 212, 145), (145, 150, 106), (219, 195, 79)]","['saddlebrown', 'khaki', 'darkkhaki']"
52,"[(29, 34, 13), (35, 38, 19), (36, 40, 12), (30, 35, 7), (24, 29, 7), (42, 43, 21), (63, 76, 65), (55, 55, 33), (83, 96, 79), (154, 175, 132)]",['Small/Transparent']
53,"[(30, 35, 9), (31, 36, 16), (37, 40, 14), (25, 30, 7), (40, 42, 22), (58, 71, 61), (70, 82, 71), (53, 53, 30), (92, 105, 85), (154, 176, 133)]",['Small/Transparent']
54,"[(35, 38, 15), (28, 33, 9), (42, 43, 22), (232, 243, 194), (222, 235, 189), (212, 225, 180), (58, 57, 34), (97, 93, 74), (198, 213, 169), (144, 159, 117)]",['lightgoldenrodyellow']
55,"[(30, 36, 11), (25, 30, 6), (38, 41, 18), (137, 154, 135), (144, 159, 139), (47, 47, 27), (131, 147, 128), (99, 92, 77), (62, 61, 43), (116, 119, 99)]",['Small/Transparent']
56,"[(30, 35, 9), (32, 37, 17), (24, 30, 7), (41, 42, 21), (37, 40, 12), (61, 73, 56), (68, 80, 63), (54, 54, 29), (89, 100, 77), (137, 158, 120)]",['Small/Transparent']
57,"[(32, 37, 13), (51, 61, 50), (39, 41, 19), (26, 31, 7), (45, 55, 45), (61, 69, 55), (48, 48, 26), (84, 91, 70), (221, 234, 186), (164, 179, 134)]",['Small/Transparent']
58,"[(30, 35, 10), (39, 41, 19), (206, 223, 183), (196, 210, 171), (54, 53, 31), (160, 63, 7), (92, 91, 72), (179, 168, 130), (162, 123, 84), (210, 143, 6)]","['lightgray', 'saddlebrown', 'darkkhaki', 'peru', 'darkgoldenrod']"
59,"[(33, 37, 17), (28, 33, 12), (32, 37, 8), (25, 30, 6), (40, 42, 22), (39, 41, 14), (52, 49, 25), (86, 67, 47), (68, 57, 43), (99, 80, 63)]",['Small/Transparent']
60,"[(27, 32, 9), (31, 36, 16), (32, 37, 9), (38, 41, 15), (40, 42, 22), (21, 25, 4), (49, 50, 27), (71, 68, 43), (244, 251, 202), (152, 150, 98)]",['lightgoldenrodyellow']
61,"[(38, 41, 18), (30, 35, 15), (26, 31, 7), (34, 38, 9), (45, 46, 23), (190, 186, 120), (92, 93, 51), (63, 61, 33), (114, 111, 61), (150, 154, 89)]",['darkkhaki']
62,"[(39, 41, 18), (26, 31, 7), (31, 36, 15), (34, 38, 9), (251, 220, 1), (48, 48, 22), (82, 66, 7), (66, 64, 40), (215, 190, 5), (163, 135, 8)]","['gold', 'goldenrod', 'darkgoldenrod']"
63,"[(42, 40, 17), (30, 34, 10), (53, 46, 23), (198, 57, 4), (123, 92, 67), (119, 74, 44), (132, 56, 20), (154, 9, 3), (186, 85, 36), (182, 133, 93)]","['firebrick', 'saddlebrown', 'saddlebrown', 'darkred', 'sienna', 'peru']"
64,"[(39, 42, 20), (31, 36, 16), (27, 32, 8), (35, 39, 11), (50, 50, 27), (67, 68, 43), (234, 247, 189), (199, 224, 151), (165, 176, 117), (124, 139, 79)]","['khaki', 'darkkhaki']"
65,"[(35, 39, 15), (28, 33, 8), (44, 46, 24), (238, 249, 195), (64, 66, 42), (217, 242, 167), (197, 222, 138), (167, 175, 129), (122, 131, 93), (162, 218, 51)]","['lightgoldenrodyellow', 'khaki', 'yellowgreen']"
66,"[(30, 35, 11), (41, 43, 22), (222, 240, 192), (207, 225, 180), (56, 58, 37), (170, 214, 188), (133, 186, 181), (167, 177, 138), (38, 155, 183), (121, 124, 96)]","['mediumaquamarine', 'lightseagreen']"
67,"[(32, 37, 15), (28, 33, 8), (41, 42, 21), (38, 40, 11), (243, 213, 2), (54, 51, 14), (84, 66, 4), (220, 195, 2), (63, 61, 37), (178, 139, 5)]","['gold', 'saddlebrown', 'gold', 'darkgoldenrod']"
68,"[(33, 38, 14), (27, 34, 7), (21, 28, 5), (25, 33, 14), (40, 42, 20), (12, 18, 4), (21, 39, 35), (59, 55, 29), (96, 78, 44), (158, 128, 85)]",['peru']
69,"[(36, 40, 17), (29, 35, 10), (43, 45, 24), (239, 250, 197), (56, 58, 36), (74, 78, 52), (221, 234, 181), (199, 213, 159), (172, 182, 136), (132, 138, 102)]",['lightgoldenrodyellow']
70,"[(29, 35, 14), (35, 39, 19), (35, 39, 10), (26, 32, 7), (41, 43, 20), (44, 47, 29), (58, 60, 38), (62, 84, 73), (90, 110, 92), (123, 144, 115)]",['Small/Transparent']
71,"[(34, 38, 18), (29, 34, 13), (33, 38, 9), (26, 32, 7), (40, 42, 15), (40, 43, 24), (51, 52, 27), (64, 66, 44), (29, 51, 51), (77, 95, 82)]",['Small/Transparent']
72,"[(34, 38, 15), (27, 33, 9), (41, 44, 23), (55, 58, 36), (174, 227, 214), (162, 210, 191), (115, 131, 109), (128, 172, 163), (224, 248, 206), (77, 92, 79)]","['powderblue', 'beige']"
73,"[(33, 37, 17), (28, 34, 13), (34, 38, 10), (39, 42, 15), (28, 34, 6), (38, 41, 22), (44, 46, 24), (23, 28, 6), (55, 56, 33), (73, 74, 51)]",['Small/Transparent']
74,"[(31, 36, 16), (25, 31, 8), (32, 37, 9), (38, 41, 14), (39, 41, 22), (46, 48, 25), (57, 59, 36), (76, 79, 51), (102, 104, 71), (140, 146, 103)]",['Small/Transparent']
75,"[(27, 32, 8), (32, 37, 17), (40, 42, 20), (34, 38, 10), (50, 51, 28), (219, 236, 185), (72, 70, 46), (175, 184, 143), (113, 138, 126), (46, 69, 146)]",['darkslateblue']
76,"[(35, 38, 18), (29, 34, 13), (34, 38, 9), (26, 32, 7), (41, 43, 18), (40, 43, 27), (46, 62, 63), (59, 58, 32), (54, 79, 85), (80, 113, 110)]",['Small/Transparent']
77,"[(30, 35, 14), (35, 39, 20), (25, 31, 8), (38, 41, 13), (31, 37, 8), (42, 44, 22), (52, 54, 31), (71, 70, 46), (100, 124, 107), (38, 76, 83)]",['Small/Transparent']
78,"[(30, 35, 14), (38, 41, 14), (25, 31, 8), (35, 39, 20), (32, 37, 8), (42, 44, 22), (55, 55, 29), (41, 54, 44), (68, 76, 56), (18, 43, 51)]",['Small/Transparent']
79,"[(27, 33, 9), (32, 37, 17), (41, 43, 22), (34, 39, 10), (41, 68, 72), (58, 58, 33), (32, 45, 41), (14, 77, 103), (58, 94, 95), (110, 148, 130)]",['Small/Transparent']
80,"[(32, 37, 11), (38, 41, 16), (26, 32, 8), (31, 36, 19), (41, 43, 24), (32, 79, 134), (18, 36, 48), (54, 54, 30), (38, 50, 119), (72, 72, 49)]","['darkslateblue', 'midnightblue']"
81,"[(34, 38, 18), (29, 34, 14), (33, 38, 9), (26, 32, 7), (41, 43, 23), (39, 42, 15), (53, 54, 31), (70, 70, 46), (121, 135, 106), (97, 106, 80)]",['Small/Transparent']
82,"[(32, 37, 17), (28, 33, 8), (42, 43, 22), (37, 40, 12), (187, 23, 3), (56, 36, 11), (62, 58, 33), (134, 7, 3), (173, 65, 17), (64, 10, 2)]","['firebrick', 'darkred', 'saddlebrown']"
83,"[(35, 38, 15), (28, 33, 9), (42, 43, 21), (201, 15, 4), (182, 16, 2), (59, 30, 8), (62, 59, 34), (136, 2, 3), (182, 58, 7), (119, 91, 49)]","['firebrick', 'firebrick', 'darkred', 'firebrick']"
84,"[(33, 37, 14), (27, 33, 8), (39, 42, 20), (39, 47, 30), (31, 130, 128), (60, 59, 34), (68, 97, 74), (58, 112, 97), (13, 117, 102), (117, 165, 140)]","['teal', 'teal', 'cadetblue']"
85,"[(35, 39, 15), (28, 34, 9), (41, 43, 22), (54, 55, 33), (70, 73, 48), (236, 247, 193), (215, 228, 176), (191, 200, 152), (159, 167, 127), (125, 126, 94)]",['lightgoldenrodyellow']
