Filename,MaxFeret,MinFeret,SolidArea
252_processed.jpeg,inf,inf,inf
253_processed.jpeg,inf,inf,inf
254_processed.jpeg,inf,inf,inf
255_processed.jpeg,inf,inf,inf
256_processed.jpeg,inf,inf,inf
257_processed.jpeg,inf,inf,inf
258_processed.jpeg,inf,inf,inf
259_processed.jpeg,inf,inf,inf
25_processed.jpeg,inf,inf,inf
260_processed.jpeg,inf,inf,inf
261_processed.jpeg,inf,inf,inf
262_processed.jpeg,inf,inf,inf
263_processed.jpeg,inf,inf,inf
264_processed.jpeg,inf,inf,inf
265_processed.jpeg,inf,inf,inf
266_processed.jpeg,inf,inf,inf
267_processed.jpeg,inf,inf,inf
268_processed.jpeg,inf,inf,inf
269_processed.jpeg,inf,inf,inf
26_processed.jpeg,inf,inf,inf
270_processed.jpeg,inf,inf,inf
271_processed.jpeg,inf,inf,inf
272_processed.jpeg,inf,inf,inf
273_processed.jpeg,inf,inf,inf
274_processed.jpeg,inf,inf,inf
275_processed.jpeg,inf,inf,inf
276_processed.jpeg,inf,inf,inf
277_processed.jpeg,inf,inf,inf
278_processed.jpeg,inf,inf,inf
279_processed.jpeg,inf,inf,inf
27_processed.jpeg,inf,inf,inf
280_processed.jpeg,inf,inf,inf
281_processed.jpeg,inf,inf,inf
282_processed.jpeg,inf,inf,inf
283_processed.jpeg,inf,inf,inf
284_processed.jpeg,inf,inf,inf
285_processed.jpeg,inf,inf,inf
286_processed.jpeg,inf,inf,inf
287_processed.jpeg,inf,inf,inf
288_processed.jpeg,inf,inf,inf
289_processed.jpeg,inf,inf,inf
28_processed.jpeg,inf,inf,inf
290_processed.jpeg,inf,inf,inf
291_processed.jpeg,inf,inf,inf
292_processed.jpeg,inf,inf,inf
293_processed.jpeg,inf,inf,inf
294_processed.jpeg,inf,inf,inf
295_processed.jpeg,inf,inf,inf
296_processed.jpeg,inf,inf,inf
297_processed.jpeg,inf,inf,inf
298_processed.jpeg,inf,inf,inf
299_processed.jpeg,inf,inf,inf
29_processed.jpeg,inf,inf,inf
2_processed.jpeg,inf,inf,inf
300_processed.jpeg,inf,inf,inf
301_processed.jpeg,inf,inf,inf
302_processed.jpeg,inf,inf,inf
303_processed.jpeg,inf,inf,inf
